1,Day 1: 30-Minute Fat-Frying Bikini-Body Workout | Class FitSugar,1441448
2,Day 2: Full Body Stretching Exercises | Flexibility Workout | Class FitSugar,1004442
3,"Day 3 Video 1: Pop Physique Class, Leg and Butt Workout, Class FitSugar",155203
4,Day 3 Video 2: 5-Minute No-Crunch Flat Abs Workout | Class FitSugar,267523
5,Day 4: At-Home Cardio Sweat Workout - No Running Required! | Class FitSugar,669316
6,Day 5 Rest Day: 2 Stretches to Keep You Long and Lean,36899
7,Day 6: 20-Minute Calorie Scorcher That Even a Beginner Can Do | Class FitSugar,215464
8,Day 7: Beat the Belly Bloat With 10 Minutes of Yoga | Class FitSugar,295873
9,Day 8: 30 Minutes to a Brazilian Bikini Body | Class FitSugar,198559
10,Day 9: 5-Minute Towel Stretch For Long and Lean Limbs | Class FitSugar,126746
11,Day 10 Video 1: The Look Good Naked Barre Workout | Class FitSugar,682595
12,Day 10 Video 2: Bikini Belly Boot Camp - 10 Minutes to Tone! | Class FitSugar,297897
13,Day 11: 20-Minute No-Running Cardio Workout | Class FitSugar,1052011
14,Day 12 Rest Day: 1 Runner's Stretch to Elongate Your Legs,19768
15,Day 13: 20-Minute High Intensity Workout | Class FitSugar,394026
16,Day 14: CorePower Yoga Full Body Workout | Class FitSugar,375348
17,Day 15: 30-Minute Fat-Burning Pilates Workout | Class FitSugar,521460
18,Day 16: 10-Minute Active Stretch Workout Supermodels Use to Get Balanced | Class FitSugar,71128
19,Day 17 Video 1: Cardio Barre Workout For the Best Full-Body Burn Ever | Class FitSugar,343940
20,Day 17 Video 2: The Ultimate Ab Workout For Your Skimpiest Bikini | Class FitSugar,222175
21,Day 18: 30-Minute Flat Belly Workout | Class FitSugar,356035
22,Day 19 Rest Day: 2 Stretches You Must Do After Every Workout,30210
23,Day 20: 20-Minute 200-Calorie Blaster Workout | Class FitSugar,220491
24,Day 21: Yoga Workout For the Ultimate Bikini Body | Class FitSugar,1119203
