1,Learn How To Play Guitar - Beginner Guitar Lesson #1,1880804
2,How To Hold The Guitar - Beginner Guitar Lesson #2,1078165
3,"Fingers, Frets, And Strings - Beginner Guitar Lesson #3",992959
4,The Parts Of The Guitar - Beginner Guitar Lesson #4,754323
5,The Guitar String Names - Beginner Guitar Lesson #5,714293
6,How To Tune Your Guitar - Beginner Guitar Lesson #6,926398
7,How To Strum The Guitar - Beginner Guitar Lesson #7,762736
8,Your First Guitar Chords - Beginner Guitar Lesson #8,1105970
9,Two More Guitar Chords - Beginner Guitar Lesson #9,538010
10,Playing Your First Song - Beginner Guitar Lesson #10,470784
11,Musical Strumming Tips - Beginner Guitar Lesson #11,342081
12,Where To Go From Here - Beginner Guitar Lesson #12,173311
13,Changing Guitar Chords Smoothly - Beginner Guitar Lesson,189822
14,5 Tips For Great Sounding Bar Chords - Guitar Lesson,94087
15,How To Read Guitar Tabs,76217
